,rra_id,rra_playerId,rra_dateAt,rra_partnerId,rra_brandId,rra_campaignId,rra_playerCountry,rra_registrationsCount,rra_depositsCount,firstDepositsSumEur,depositsSumEur,c_registrationDateAt,c_gender,c_age
187993,300469792484705515,5382061,2020-10-06 03:00:00,88092,102,100050,NL,0,4,0.0,600.0,2020-09-05 12:15:36,m,52.0
187994,691308890294943777,5382061,2020-09-26 03:00:00,88092,102,100050,NL,0,4,0.0,1100.0,2020-09-05 12:15:36,m,52.0
187995,920408724208139198,5382061,2020-09-24 03:00:00,88092,102,100050,NL,0,3,0.0,250.0,2020-09-05 12:15:36,m,52.0
187996,999301619479778091,5382061,2020-10-26 03:00:00,88092,102,100050,NL,0,3,0.0,250.0,2020-09-05 12:15:36,m,52.0
187997,110159048794495597,5382077,2020-09-28 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 12:42:25,m,28.0
187998,161950173751112301,5382077,2020-10-10 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 12:42:25,m,28.0
187999,184610030243657604,5382077,2020-10-08 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 12:42:25,m,28.0
188000,198599033666954404,5382077,2020-09-27 03:00:00,88092,102,100050,NL,0,1,0.0,50.0,2020-09-05 12:42:25,m,28.0
188001,215500581379948370,5382077,2020-10-15 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 12:42:25,m,28.0
188002,259540577590336222,5382077,2020-10-14 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 12:42:25,m,28.0
188003,269120758794452942,5382077,2020-10-16 03:00:00,88092,102,100050,NL,0,1,0.0,50.0,2020-09-05 12:42:25,m,28.0
188004,295191464775316413,5382077,2020-10-24 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 12:42:25,m,28.0
188005,299367785532249762,5382077,2020-09-05 03:00:00,88092,102,100050,NL,1,5,20.0,100.0,2020-09-05 12:42:25,m,28.0
188006,299377785522053743,5382077,2020-09-06 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 12:42:25,m,28.0
188007,351103299203563306,5382077,2020-11-14 03:00:00,88092,102,100050,NL,0,2,0.0,40.0,2020-09-05 12:42:25,m,28.0
188008,405800762594845090,5382077,2020-10-17 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 12:42:25,m,28.0
188009,299367785532249764,5382500,2020-09-05 03:00:00,88092,102,100050,NL,1,2,20.0,40.0,2020-09-05 13:28:40,m,30.0
188010,299367785532249768,5383397,2020-09-05 03:00:00,88092,102,100050,NL,1,1,100.0,100.0,2020-09-05 15:05:31,m,29.0
188011,299377785522053746,5383397,2020-09-06 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 15:05:31,m,29.0
188012,299367785532249773,5383884,2020-09-05 03:00:00,88092,102,100050,NL,1,1,20.0,20.0,2020-09-05 16:31:06,m,27.0
188013,299377785522053749,5383884,2020-09-06 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 16:31:06,m,27.0
